cod_articulo,nom_articulo,padre,articulo_padre,clase_maquina,tipo_pieza,tamano,confianza,motivo
AAC1408-SP-1,Cigar Lighter&Cable,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,TINY,Chico,alta,
AAC1408-SP-14,Pressure Gage,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,SMALL,Chico,baja,pieza no reconocida
AAC1408-SP-15/18-20/29-30,Cylinder head assembly,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,STRUCT,Chico,alta,
AAC1408-SP-21,Clip Jion Assembly,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,TINY,Chico,alta,
AAC1408-SP-3,Carbon Brush,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,TINY,Chico,alta,
AAC1408-SP-31-37,Connecting rod assembly,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,MEDIO,Chico,alta,
AAC1408-SP-39/40,Rotor,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,MEDIO,Chico,alta,
AAC1408-SP-5,Switch,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,TINY,Chico,alta,
AAC1408-SP-B.C,Battery clips,AAC1408,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,MICRO,TINY,Chico,alta,
AAC1601-SP-16,AAC1601-SP-16,AAC1601,COMPRESOR 12 VOLT P AUTO INGCO AAC1601,MEDIUM,SMALL,Chico,baja,pieza no reconocida
AAC1601-SP-C.P.A,AAC1601-SP-C.P.A,AAC1601,COMPRESOR 12 VOLT P AUTO INGCO AAC1601,MEDIUM,SMALL,Chico,baja,pieza no reconocida
AAC1601-SP-P.A,Pump assembly,AAC1601,COMPRESOR 12 VOLT P AUTO INGCO AAC1601,MEDIUM,MEDIO,Mediano,alta,
AAC2508-SP-1-3,AAC2508-SP-1-3,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,baja,pieza no reconocida
AAC2508-SP-10,S-Magnetic shoe,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,baja,pieza no reconocida
AAC2508-SP-11,N-Magnetic shoe,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,baja,pieza no reconocida
AAC2508-SP-12,Carbon Brush,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,TINY,Chico,alta,
AAC2508-SP-16/17,Rotor/Retaining ring,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,MEDIO,Mediano,alta,
AAC2508-SP-23,Seal cup,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,TINY,Chico,alta,
AAC2508-SP-25,Cylinder sleeve,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,MEDIO,Mediano,alta,
AAC2508-SP-49,LED Switch,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,TINY,Chico,alta,
AAC2508-SP-52,AAC2508-SP-52,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,baja,pieza no reconocida
AAC2508-SP-53/55/56,Pressure pipe Assy,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,alta,
AAC2508-SP-A.B,Accessory bag,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,alta,
AAC2508-SP-C.R,ConnectingRod,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,MEDIO,Mediano,alta,
AAC2508-SP-P.G.E,WithPressureGageExtendedTubeAssembly,AAC2508,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),MEDIUM,SMALL,Chico,baja,pieza no reconocida
AB4018-SP-13,Rotor,AB4018,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,HAND,MEDIO,Chico,alta,
AB4018-SP-16,Stator,AB4018,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,HAND,MEDIO,Chico,alta,
AB4018-SP-19,Switch,AB4018,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,HAND,TINY,Chico,alta,
AB4018-SP-25,Carbon Brush,AB4018,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,HAND,TINY,Chico,alta,
AB4018-SP-30,Dust Bag Ass¨y,AB4018,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,HAND,SMALL,Chico,alta,
AB4028-SP-1,WindPipe,AB4028,,HAND,SMALL,Chico,baja,maquina no encontrada
AB4028-SP-2,WindPipeRing,AB4028,,HAND,TINY,Chico,baja,maquina no encontrada
AB4028-SP-24,Brush,AB4028,,HAND,TINY,Chico,baja,maquina no encontrada
AB4028-SP-4,Switch,AB4028,,HAND,TINY,Chico,baja,maquina no encontrada
AB4028-SP-5,Stator,AB4028,,HAND,MEDIO,Chico,baja,maquina no encontrada
AB4028-SP-8,Armature,AB4028,,HAND,MEDIO,Chico,baja,maquina no encontrada
AB4038-SP-21,carbon brushe,AB4038,SOPLADORA 400W 220V 14000RPM INGCO AB4038,HAND,TINY,Chico,alta,
AB4038-SP-24,Stator,AB4038,SOPLADORA 400W 220V 14000RPM INGCO AB4038,HAND,MEDIO,Chico,alta,
AB4038-SP-25,Rotor,AB4038,SOPLADORA 400W 220V 14000RPM INGCO AB4038,HAND,MEDIO,Chico,alta,
AB6008-SP-1,WindPipe,AB6008,SOPLADORA AIRE 600W INGCO AB6008,HAND,SMALL,Chico,alta,
AB6008-SP-13,Rotor,AB6008,SOPLADORA AIRE 600W INGCO AB6008,HAND,MEDIO,Chico,alta,
