cod_articulo,nom_articulo,articulo_padre,tamano
AAC1408-SP-1,Cigar Lighter&Cable,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-14,Pressure Gage,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-15/18-20/29-30,Cylinder head assembly,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-21,Clip Jion Assembly,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-3,Carbon Brush,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-31-37,Connecting rod assembly,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-39/40,Rotor,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-5,Switch,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1408-SP-B.C,Battery clips,MINI COMPRESOR AUTO (MOD NUEVO) 12 VOLT INGCO AAC1408 140PSI (10BAR) INFLADOR,Chico
AAC1601-SP-16,AAC1601-SP-16,COMPRESOR 12 VOLT P AUTO INGCO AAC1601,Chico
AAC1601-SP-C.P.A,AAC1601-SP-C.P.A,COMPRESOR 12 VOLT P AUTO INGCO AAC1601,Chico
AAC1601-SP-P.A,Pump assembly,COMPRESOR 12 VOLT P AUTO INGCO AAC1601,
AAC2508-SP-1-3,AAC2508-SP-1-3,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-10,S-Magnetic shoe,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-11,N-Magnetic shoe,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-12,Carbon Brush,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-16/17,Rotor/Retaining ring,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-23,Seal cup,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-25,Cylinder sleeve,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-49,LED Switch,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-52,AAC2508-SP-52,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-53/55/56,Pressure pipe Assy,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-A.B,Accessory bag,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-C.R,ConnectingRod,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AAC2508-SP-P.G.E,WithPressureGageExtendedTubeAssembly,COMPRESOR AUTO 12 VOLT 18AMP USO RUDO INGCO AAC2508 120PSI (10BAR),Chico
AB4018-SP-13,Rotor,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,Mediano
AB4018-SP-16,Stator,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,Chico
AB4018-SP-19,Switch,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,Chico
AB4018-SP-25,Carbon Brush,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,Chico
AB4018-SP-30,Dust Bag Ass¨y,SOPLADORA ASPIRADORA INGCO 400W AB4018 INGCO,Mediano
AB4028-SP-1,WindPipe,(máquina desconocida),Chico
AB4028-SP-2,WindPipeRing,(máquina desconocida),Chico
AB4028-SP-24,Brush,(máquina desconocida),Chico
AB4028-SP-4,Switch,(máquina desconocida),
AB4028-SP-5,Stator,(máquina desconocida),Chico
AB4028-SP-8,Armature,(máquina desconocida),Chico
AB4038-SP-21,carbon brushe,SOPLADORA 400W 220V 14000RPM INGCO AB4038,Chico
AB4038-SP-24,Stator,SOPLADORA 400W 220V 14000RPM INGCO AB4038,Chico
AB4038-SP-25,Rotor,SOPLADORA 400W 220V 14000RPM INGCO AB4038,Chico
AB6008-SP-1,WindPipe,SOPLADORA AIRE 600W INGCO AB6008,Mediano
AB6008-SP-13,Rotor,SOPLADORA AIRE 600W INGCO AB6008,Chico
AB6008-SP-15,Stator,SOPLADORA AIRE 600W INGCO AB6008,Chico
AB6008-SP-18,Switch,SOPLADORA AIRE 600W INGCO AB6008,Chico
AB6008-SP-19,Pcb,SOPLADORA AIRE 600W INGCO AB6008,Chico
AB6008-SP-23,CarbonBrush,SOPLADORA AIRE 600W INGCO AB6008,
AB6008-SP-24,BrushHolder,SOPLADORA AIRE 600W INGCO AB6008,Chico
AB6008-SP-25,BrushCover,SOPLADORA AIRE 600W INGCO AB6008,Chico
AB6008-SP-6,Fan,SOPLADORA AIRE 600W INGCO AB6008,Mediano
AB6038-SP-1/2,Wind pipe sleeve,SOPLADORA 650W 220V VEL VARIABLE 0-16000RPM INGCO AB6038,Chico
AB6038-SP-13,Switch,SOPLADORA 650W 220V VEL VARIABLE 0-16000RPM INGCO AB6038,Chico
AB6038-SP-15,PCB,SOPLADORA 650W 220V VEL VARIABLE 0-16000RPM INGCO AB6038,Chico
AB6038-SP-20/22/23,carbon brushe assembly,SOPLADORA 650W 220V VEL VARIABLE 0-16000RPM INGCO AB6038,Chico
AB6038-SP-21,carbon brushe,SOPLADORA 650W 220V VEL VARIABLE 0-16000RPM INGCO AB6038,Chico
AB6038-SP-24,Stator,SOPLADORA 650W 220V VEL VARIABLE 0-16000RPM INGCO AB6038,Chico
