cod_articulo,nom_articulo,clase_abc,urgencia,alerta,comprar,cant_master,inversion_usd,ventas_ult_3m,pred_esperada,objetivo,stock_seguridad,posicion,stock_fisico,en_camino,pendiente_entregar,alcance_meses,prob_demanda,tendencia,pedidos_taller_3m,meses_desde_ultima_venta,Fob
GHPW2003-SP-W.S.R.K,Water seal repair kit,C,CRITICO: sin stock y con pedidos,SIN STOCK: meses sin venta pueden ser venta perdida,3,1,6.0,1.0,1.2,1.8,0.7,-1.0,0.0,0,1,-4.2,26.0,2.0,4.0,1,2.0
GRT75-2-SP-53,CYLINDERASSEMBLY,C,ALTO: quiebra antes de que llegue el pedido,,3,1,731.0,2.0,1.6,2.3,0.7,0.0,0.0,0,0,0.0,40.0,2.0,1.0,0,243.8
GHPW2103-SP-27,High Pressure Pipe,A,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,22,1,355.0,6.0,6.9,21.2,14.2,0.0,0.0,0,0,0.0,74.0,1.5,4.0,1,16.2
AC1301008-SP-M.A,Motor assembly,A,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,4,1,349.0,1.0,0.7,3.3,2.6,0.0,0.0,0,0,0.0,19.0,2.0,1.0,1,87.1
WAP4R22-SP-53,Motor,A,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,3,1,293.0,0.0,0.3,2.2,1.9,0.0,0.0,0,0,0.0,14.0,,0.0,9,97.6
LM321-SP-M.A,Motor assembly,C,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,15,1,225.0,3.0,8.0,14.9,6.9,0.0,0.0,0,0,0.0,65.0,0.8,0.0,1,15.0
GDE50001-SP-55-4-NEW,Generator Rotator,A,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,4,1,214.0,0.0,0.5,3.3,2.8,0.0,0.0,0,0,0.0,14.0,,0.0,14,53.4
PDB15006-SP-72,REPUESTOPDB15006-SP-72ARMATURE220-240V,A,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,10,1,190.0,3.0,2.8,9.5,6.7,0.0,0.0,0,0,0.0,55.0,1.5,0.0,2,19.0
GE90006-SP-1,GENERATOR HEAD ASSY,C,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,1,1,177.0,0.0,0.7,0.7,0.0,0.0,0.0,0,0,0.0,18.0,0.0,0.0,3,177.1
AGL02301-SP-GUN,gun,A,ALTO: quiebra antes de que llegue el pedido,,19,1,171.0,6.0,6.8,18.3,11.5,0.0,0.0,0,0,0.0,85.0,1.1,0.0,0,9.0
DP133505-SP-23,REPUESTODP133505-SP-23MOTOR,B,ALTO: quiebra antes de que llegue el pedido,,4,1,160.0,2.0,1.4,3.5,2.1,0.0,0.0,0,0,0.0,40.0,2.0,0.0,0,40.0
AGL02301-SP-1-77,Pump Head,C,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,3,1,154.0,0.0,2.5,2.5,0.1,0.0,0.0,0,0,0.0,77.0,,0.0,28,51.3
PDB22001-SP-80-98,Handle components,B,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,5,1,134.0,2.0,1.4,4.1,2.7,0.0,0.0,0,0,0.0,28.0,2.0,2.0,1,26.8
GEI47506E-SP-23,Inverter Module,C,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,1,1,123.0,0.0,0.5,0.5,0.0,0.0,0.0,0,0,0.0,17.0,0.0,0.0,3,123.2
CS18528-SP-39,rotor,A,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,13,1,118.0,0.0,2.7,12.2,9.5,0.0,0.0,0,0,0.0,42.0,0.0,0.0,3,9.0
WCM1A200-SP-13,Assembly For Motor,C,ALTO: quiebra antes de que llegue el pedido,SIN STOCK: meses sin venta pueden ser venta perdida,2,1,111.0,1.0,1.1,1.8,0.7,0.0,0.0,0,0,0.0,32.0,1.0,1.0,2,55.6
